Gender,FCVC,Weight,CALC,FAVC,Height,CH2O,NObeyesdad
1,2.0,64.0,0,0,1.62,2.0,1
1,3.0,56.0,1,0,1.52,3.0,1
0,2.0,77.0,3,0,1.8,2.0,1
0,3.0,87.0,3,0,1.8,2.0,5
0,2.0,89.8,1,0,1.78,2.0,6
0,2.0,53.0,1,1,1.62,2.0,1
1,3.0,55.0,1,1,1.5,2.0,1
0,2.0,53.0,1,0,1.64,2.0,1
0,3.0,64.0,3,1,1.78,2.0,1
0,2.0,68.0,0,1,1.72,2.0,1
0,3.0,105.0,1,1,1.85,3.0,2
1,2.0,80.0,1,1,1.72,2.0,6
0,3.0,56.0,1,0,1.65,3.0,1
0,2.0,99.0,3,1,1.8,2.0,2
0,3.0,60.0,1,1,1.77,1.0,1
1,3.0,66.0,1,0,1.7,2.0,1
0,2.0,102.0,1,1,1.93,1.0,6
1,2.0,78.0,0,1,1.53,2.0,2
1,3.0,82.0,0,1,1.71,1.0,6
1,2.0,70.0,1,0,1.65,2.0,5
0,2.0,80.0,0,0,1.65,2.0,6
1,3.0,87.0,0,1,1.69,2.0,2
1,3.0,60.0,1,1,1.65,2.0,1
1,1.0,82.0,1,1,1.6,2.0,2
0,2.0,68.0,1,1,1.85,2.0,1
0,2.0,50.0,0,0,1.6,2.0,1
0,2.0,65.0,6,1,1.7,2.0,1
1,2.0,52.0,1,1,1.6,2.0,1
0,3.0,76.0,1,1,1.75,2.0,1
0,2.0,70.0,3,1,1.68,2.0,1
0,1.0,83.0,0,1,1.77,3.0,5
1,2.0,68.0,1,0,1.58,1.0,6
1,2.0,76.0,1,0,1.77,3.0,1
0,2.0,90.0,1,0,1.79,2.0,6
0,2.0,62.0,1,1,1.65,2.0,1
1,2.0,65.0,1,0,1.5,2.0,6
1,2.0,49.0,0,1,1.56,1.0,1
1,2.0,48.0,1,1,1.6,1.0,1
0,2.0,67.0,1,1,1.65,2.0,1
1,2.0,88.0,1,1,1.75,3.0,6
1,2.0,75.0,1,1,1.67,2.0,5
0,2.0,60.0,0,0,1.68,2.0,1
1,1.0,64.0,0,1,1.66,1.0,1
0,2.0,62.0,3,1,1.66,2.0,1
0,1.0,80.0,0,0,1.81,2.0,1
1,2.0,65.0,0,0,1.53,1.0,6
0,1.0,72.0,1,1,1.82,3.0,1
0,1.0,72.0,1,1,1.75,3.0,1
1,3.0,60.0,1,0,1.66,2.0,1
1,2.0,50.0,1,1,1.55,2.0,1
1,3.0,54.5,1,1,1.61,3.0,1
1,2.0,44.0,1,1,1.5,1.0,1
1,3.0,52.0,0,1,1.64,2.0,1
1,3.0,55.0,0,0,1.63,2.0,1
1,3.0,55.0,0,0,1.6,3.0,1
0,2.0,62.0,1,0,1.68,2.0,1
0,2.0,70.0,1,1,1.7,1.0,1
0,2.0,65.0,0,0,1.64,1.0,1
1,3.0,67.0,0,1,1.65,2.0,1
0,2.0,55.0,0,1,1.76,3.0,0
1,2.0,49.0,1,1,1.55,3.0,1
0,2.0,58.0,1,1,1.65,2.0,1
0,2.0,62.0,1,1,1.67,2.0,1
0,2.0,55.0,1,1,1.68,2.0,1
1,2.0,57.0,0,1,1.66,1.0,1
1,1.0,69.0,0,1,1.62,2.0,5
0,1.0,90.0,3,1,1.8,2.0,6
0,2.0,95.0,3,1,1.65,2.0,2
0,1.0,112.0,3,1,1.76,2.0,3
0,2.0,60.0,1,0,1.8,3.0,1
1,2.0,80.0,0,1,1.65,2.0,6
1,3.0,50.0,1,0,1.67,3.0,0
1,2.0,60.0,0,0,1.65,3.0,1
0,2.0,65.0,1,0,1.85,3.0,1
0,2.0,85.0,3,1,1.7,3.0,6
1,3.0,45.0,0,0,1.63,3.0,0
1,2.0,45.0,0,0,1.6,2.0,0
1,2.0,80.0,0,1,1.7,3.0,6
1,2.0,90.0,0,1,1.65,3.0,2
0,2.0,60.0,1,0,1.65,2.0,1
1,3.0,58.0,0,0,1.63,2.0,1
0,2.0,91.0,1,1,1.8,2.0,6
0,2.0,85.5,0,1,1.67,2.0,2
1,3.0,45.0,0,0,1.6,3.0,0
0,2.0,83.0,1,1,1.7,2.0,6
0,2.0,58.5,0,0,1.65,2.0,1
0,2.0,83.0,0,1,1.85,3.0,1
0,2.0,87.0,0,1,1.82,2.0,5
1,2.0,65.0,0,1,1.65,2.0,1
1,3.0,78.0,3,1,1.7,1.0,6
1,3.0,93.0,0,0,1.63,1.0,3
1,3.0,64.0,3,0,1.61,2.0,1
0,3.0,84.0,3,0,1.78,3.0,5
1,3.0,57.0,0,0,1.6,2.0,1
1,3.0,48.0,0,1,1.6,2.0,1
0,3.0,70.0,3,0,1.7,2.0,1
1,2.0,60.0,1,0,1.66,2.0,1
1,3.0,42.0,1,0,1.52,1.0,0
1,3.0,42.0,1,0,1.52,1.0,0
0,2.0,70.0,3,0,1.72,2.0,1
1,3.0,63.0,1,1,1.69,1.0,1
0,2.0,66.4,0,0,1.7,2.0,1
1,2.0,57.0,1,1,1.55,2.0,1
1,3.0,58.0,1,1,1.65,2.0,1
1,2.0,80.0,1,1,1.56,2.0,2
1,2.0,55.0,1,1,1.57,2.0,1
1,2.0,55.0,1,1,1.57,2.0,1
0,2.0,90.0,1,1,1.88,1.0,5
0,2.0,95.0,0,0,1.75,3.0,2
1,3.0,88.0,0,1,1.65,3.0,2
0,3.0,75.0,1,1,1.75,2.0,1
1,2.0,58.0,0,1,1.58,1.0,1
1,2.0,51.0,1,1,1.56,2.0,1
1,2.0,49.0,0,0,1.5,2.0,1
1,3.0,62.0,3,1,1.61,2.0,1
1,3.0,57.0,0,1,1.75,2.0,1
1,3.0,86.0,0,1,1.65,1.0,2
1,2.0,85.0,0,0,1.7,2.0,6
0,2.0,53.0,1,1,1.62,2.0,1
1,3.0,76.0,1,0,1.63,3.0,6
1,2.0,75.0,0,1,1.67,2.0,5
0,1.0,95.0,3,1,1.87,2.0,6
0,3.0,50.0,0,0,1.75,1.0,0
0,3.0,67.0,0,1,1.66,2.0,1
0,3.0,90.0,0,1,1.76,1.0,6
0,2.0,80.0,3,1,1.75,2.0,5
0,2.0,68.0,1,1,1.67,2.0,1
1,3.0,61.0,1,1,1.65,3.0,1
0,3.0,70.0,1,1,1.72,1.0,1
0,3.0,78.0,3,1,1.7,3.0,6
1,2.0,53.0,0,1,1.58,2.0,1
0,2.0,58.0,0,0,1.62,1.0,1
1,3.0,56.0,3,1,1.65,3.0,1
1,3.0,66.0,3,1,1.65,2.0,1
0,3.0,109.0,1,1,1.77,1.0,2
0,2.0,75.0,1,1,1.7,2.0,5
0,2.0,72.0,1,1,1.79,2.0,1
0,2.0,80.0,0,0,1.6,3.0,2
0,3.0,75.0,0,0,1.76,3.0,1
0,2.0,68.0,0,1,1.7,2.0,1
0,3.0,65.0,1,1,1.89,3.0,0
0,3.0,66.0,3,1,1.87,2.0,1
0,2.0,93.5,3,1,1.74,1.0,2
1,3.0,75.0,1,1,1.68,1.0,5
0,2.0,67.0,1,0,1.61,3.0,5
0,2.0,70.0,1,1,1.62,3.0,5
1,3.0,51.0,3,0,1.56,2.0,1
1,3.0,80.0,1,0,1.63,1.0,2
1,3.0,61.0,1,1,1.6,2.0,1
1,3.0,90.0,1,1,1.67,2.0,2
0,2.0,78.0,1,1,1.78,2.0,1
1,3.0,59.0,1,1,1.62,2.0,1
1,2.0,60.0,1,1,1.5,2.0,5
0,2.0,84.0,0,0,1.69,3.0,6
0,2.0,94.0,1,1,1.74,2.0,2
1,3.0,63.0,1,1,1.68,2.0,1
1,3.0,45.0,0,0,1.53,1.0,1
0,2.0,60.0,1,1,1.67,2.0,1
1,3.0,62.0,1,0,1.55,3.0,5
0,2.0,78.0,3,1,1.64,2.0,6
0,3.0,72.0,1,0,1.83,1.0,1
0,2.0,80.0,0,1,1.65,2.0,6
1,3.0,60.0,1,1,1.63,2.0,1
0,3.0,75.0,0,0,1.89,2.0,1
0,3.0,85.0,1,0,1.77,3.0,6
0,2.0,130.0,1,0,1.92,1.0,3
1,3.0,72.0,1,0,1.74,2.0,1
0,2.0,80.0,0,0,1.65,2.0,6
1,2.0,79.0,1,1,1.73,2.0,5
1,2.0,77.0,0,1,1.63,1.0,6
0,2.0,82.0,1,1,1.72,2.0,6
0,2.0,58.0,1,1,1.6,2.0,1
1,3.0,59.0,1,0,1.65,2.0,1
0,3.0,64.0,0,0,1.74,2.0,1
0,2.0,70.0,1,1,1.62,3.0,5
1,2.0,59.8,0,1,1.64,2.0,1
1,3.0,48.0,0,1,1.57,1.0,1
0,3.0,84.0,1,1,1.84,2.0,1
0,3.0,84.0,3,1,1.91,2.0,1
0,2.0,70.0,1,1,1.62,3.0,5
1,2.0,48.0,0,1,1.58,2.0,1
1,2.0,67.0,1,1,1.68,1.0,1
1,3.0,52.0,0,1,1.68,2.0,0
1,2.0,60.0,1,1,1.48,1.0,6
0,2.0,70.0,1,1,1.62,3.0,5
1,3.0,68.0,1,0,1.62,2.0,5
0,2.0,96.0,3,0,1.78,3.0,2
0,2.0,98.0,0,0,1.78,3.0,2
0,3.0,105.0,3,1,1.78,3.0,2
1,2.0,62.0,0,1,1.63,2.0,1
0,2.0,56.0,1,1,1.6,2.0,1
0,3.0,80.0,1,1,1.75,2.0,5
0,3.0,85.0,1,0,1.83,3.0,5
0,2.0,68.0,0,0,1.78,3.0,1
1,3.0,83.0,0,1,1.6,3.0,2
0,3.0,85.0,1,1,1.8,2.0,5
0,2.0,74.0,1,0,1.75,2.0,1
0,2.0,118.0,1,1,1.75,2.0,3
1,2.0,40.0,0,1,1.59,1.0,0
1,2.0,60.0,1,1,1.66,1.0,1
1,3.0,83.0,1,0,1.63,3.0,2
1,2.0,80.0,1,1,1.54,1.0,2
1,3.0,102.0,1,1,1.56,1.0,4
0,2.0,90.0,1,0,1.69,3.0,2
0,2.0,71.0,0,1,1.83,2.0,1
1,2.0,78.0,3,1,1.6,2.0,2
0,2.0,100.0,0,1,1.75,2.0,2
0,2.0,73.0,1,0,1.75,2.0,1
1,2.0,65.0,1,1,1.69,2.0,1
1,2.0,65.0,1,1,1.69,2.0,1
0,2.0,114.0,0,1,1.8,2.0,3
1,2.0,51.0,0,1,1.63,1.0,1
1,2.0,63.0,0,0,1.5,2.0,6
0,3.0,62.0,0,1,1.8,2.0,1
0,2.0,53.0,1,1,1.65,2.0,1
0,3.0,70.0,1,1,1.68,3.0,1
1,3.0,63.0,1,0,1.6,2.0,1
0,2.0,75.0,3,0,1.71,3.0,5
1,1.0,42.3,0,0,1.5,2.0,1
1,2.0,68.0,1,1,1.6,3.0,5
1,2.0,78.0,3,0,1.75,2.0,5
0,2.0,82.0,1,1,1.72,1.0,6
1,3.0,66.5,0,1,1.72,3.0,1
1,3.0,63.0,0,1,1.61,3.0,1
1,2.0,82.0,0,1,1.63,2.0,2
0,3.0,121.0,1,0,1.83,3.0,3
1,2.0,50.0,0,1,1.6,1.0,1
1,3.0,58.0,1,1,1.62,2.0,1
1,3.0,80.0,0,0,1.68,3.0,6
0,3.0,120.0,0,0,1.75,3.0,3
0,3.0,91.0,1,1,1.9,3.0,5
1,3.0,66.0,1,1,1.63,3.0,1
1,3.0,50.0,0,0,1.59,3.0,1
1,3.0,77.0,1,0,1.68,2.0,6
1,2.0,49.0,0,1,1.59,2.0,1
1,2.0,70.0,0,0,1.69,2.0,1
1,1.0,59.0,0,1,1.66,2.0,1
1,3.0,53.0,0,1,1.64,1.0,1
1,3.0,53.0,0,1,1.62,3.0,1
1,3.0,64.0,0,1,1.7,3.0,1
1,2.0,65.0,0,1,1.63,3.0,1
0,3.0,66.0,0,1,1.6,2.0,5
1,1.0,64.0,0,1,1.63,2.0,1
0,2.0,99.0,1,1,1.85,3.0,6
1,2.0,49.0,1,0,1.54,2.0,1
1,3.0,49.0,1,0,1.64,2.0,0
1,3.0,60.0,1,1,1.57,3.0,1
1,3.0,52.0,0,1,1.62,1.0,1
0,3.0,72.0,1,1,1.72,3.0,1
0,3.0,78.0,1,1,1.76,2.0,5
1,3.0,75.0,0,1,1.65,2.0,6
0,2.0,78.0,3,0,1.67,3.0,6
0,2.0,90.0,3,0,1.79,2.0,6
1,2.0,47.0,1,1,1.59,2.0,1
1,3.0,56.0,0,0,1.64,2.0,1
0,1.0,81.0,0,0,1.78,2.0,5
0,2.0,85.0,1,0,1.75,3.0,6
0,2.0,115.0,0,0,1.85,3.0,2
0,3.0,80.0,0,0,1.7,1.0,6
1,1.0,91.0,1,1,1.67,1.0,2
0,2.0,75.0,0,1,1.72,1.0,5
1,2.0,73.0,1,0,1.7,2.0,5
0,2.0,70.0,1,1,1.74,2.0,1
0,2.0,53.0,0,1,1.74,1.0,0
0,3.0,67.0,1,1,1.87,3.0,1
0,1.0,50.0,1,1,1.7,1.0,0
1,3.0,50.0,1,1,1.65,2.0,0
0,3.0,78.0,3,1,1.7,2.0,6
0,2.0,60.0,0,0,1.67,2.0,1
0,2.0,66.0,1,1,1.72,2.0,1
0,2.0,107.0,1,1,1.82,3.0,2
1,2.0,50.0,1,1,1.5,1.0,1
0,2.0,60.0,0,1,1.7,2.0,1
0,2.0,71.0,1,1,1.71,2.0,1
1,2.0,61.0,1,0,1.61,1.0,1
1,3.0,50.0,1,1,1.5,2.0,1
0,2.0,50.0,0,1,1.67,3.0,0
0,2.0,67.0,1,1,1.82,3.0,1
1,3.0,57.0,1,1,1.57,2.0,1
0,3.0,52.0,1,0,1.79,2.0,0
0,3.0,62.0,1,1,1.75,2.0,1
0,2.0,55.0,1,1,1.7,2.0,1
1,2.0,55.0,0,1,1.62,1.0,1
0,2.0,60.0,1,0,1.69,3.0,1
0,1.0,70.0,1,1,1.77,2.0,1
0,2.0,105.0,1,1,1.79,1.0,2
1,2.0,61.0,1,1,1.6,1.0,1
1,2.0,58.0,0,1,1.6,3.0,1
1,3.0,51.0,0,1,1.56,1.0,1
0,2.0,79.0,1,0,1.88,3.0,1
0,2.0,71.0,1,1,1.82,2.0,1
0,2.0,58.0,0,1,1.8,2.0,0
0,2.0,65.0,0,1,1.7,1.0,1
0,2.0,75.0,0,0,1.82,2.0,1
0,2.0,110.0,1,1,1.86,2.0,2
1,2.0,58.0,0,0,1.66,1.0,1
1,3.0,53.0,1,1,1.53,2.0,1
0,2.0,80.0,0,0,1.74,2.0,5
0,2.0,80.0,3,1,1.8,1.0,1
0,3.0,75.0,1,1,1.7,3.0,5
0,2.0,70.0,1,1,1.7,1.0,1
0,2.0,55.0,1,1,1.72,2.0,1
0,3.0,45.0,1,1,1.84,3.0,0
1,2.0,49.0,1,1,1.57,2.0,1
0,2.0,85.0,1,0,1.8,3.0,5
0,2.0,120.0,1,1,1.75,2.0,3
1,1.0,60.0,1,1,1.56,2.0,1
1,2.0,48.0,1,1,1.59,1.0,1
0,3.0,75.0,1,1,1.8,3.0,1
1,2.0,58.0,0,0,1.66,1.0,1
0,2.0,57.0,0,1,1.79,2.0,0
0,2.0,62.0,0,1,1.72,2.0,1
1,3.0,57.0,0,1,1.6,1.0,1
0,1.0,56.0,1,1,1.66,2.0,1
1,3.0,63.0,0,1,1.65,1.0,1
0,2.0,72.0,1,1,1.7,2.0,1
0,3.0,75.0,0,0,1.75,1.0,1
0,3.0,70.0,0,1,1.75,2.0,1
1,2.0,45.0,1,1,1.56,1.0,1
1,2.0,63.0,1,1,1.55,1.0,5
0,3.0,67.0,0,1,1.67,2.0,1
0,3.0,75.0,0,0,1.75,1.0,1
1,3.0,56.0,1,0,1.75,2.0,0
0,2.0,72.0,1,1,1.8,2.0,1
1,2.0,71.0,1,1,1.65,1.0,5
1,2.0,58.0,1,1,1.55,1.0,1
0,3.0,55.3,1,1,1.7,2.0,1
0,3.0,76.0,1,0,1.72,1.0,5
0,3.0,74.0,1,0,1.74,3.0,1
1,3.0,82.0,1,1,1.65,1.0,2
1,3.0,50.0,1,1,1.8,1.0,0
0,2.0,56.0,0,1,1.74,2.0,1
0,2.0,75.0,0,1,1.85,2.0,1
1,3.0,56.0,0,0,1.7,3.0,1
1,2.0,53.0,3,1,1.45,2.0,5
0,1.0,50.0,1,1,1.7,1.0,0
0,2.0,65.0,0,1,1.7,2.0,1
0,3.0,64.4,0,1,1.78,2.0,1
1,3.0,65.0,1,1,1.6,2.0,5
1,2.0,42.0,3,0,1.53,1.0,0
0,3.0,72.0,0,1,1.8,2.0,1
0,2.0,50.0,1,0,1.6,1.0,1
0,3.0,105.0,1,1,1.74,2.0,2
0,3.0,66.0,0,0,1.65,2.0,1
0,3.0,173.0,1,1,1.87,2.0,4
0,3.0,55.0,1,1,1.7,2.0,1
1,3.0,47.0,0,0,1.54,1.0,1
0,2.0,97.0,1,1,1.8,3.0,6
0,2.0,80.0,0,1,1.82,2.0,1
0,2.0,125.0,1,1,1.98,3.0,2
0,2.0,70.0,1,0,1.75,1.0,1
1,3.0,60.0,0,0,1.65,2.0,1
1,1.0,53.0,1,1,1.6,1.0,1
1,1.0,51.0,1,1,1.6,2.0,1
1,2.0,59.0,0,1,1.6,2.0,1
1,3.0,62.0,1,1,1.55,1.0,5
0,3.0,60.0,0,0,1.9,2.0,0
1,1.0,56.0,0,1,1.7,1.0,1
0,2.0,110.0,3,0,1.75,1.0,3
1,2.0,48.0,1,0,1.56,2.0,1
0,2.0,75.0,1,1,1.87,1.0,1
1,2.0,80.0,0,1,1.56,2.0,2
1,3.0,73.0,1,0,1.65,2.0,5
0,2.0,80.0,1,1,1.8,2.0,1
0,2.0,86.0,1,1,1.84,2.0,5
0,3.0,68.0,1,1,1.7,2.0,1
0,2.0,83.0,1,1,1.72,2.0,6
1,2.0,63.0,1,1,1.58,2.0,5
1,2.0,83.0,0,1,1.68,2.0,6
0,3.0,74.0,1,0,1.58,2.0,6
0,2.0,60.0,0,1,1.8,1.0,1
0,3.0,69.0,1,1,1.62,2.0,5
1,3.0,58.0,0,1,1.62,1.0,1
1,2.0,56.0,1,1,1.54,2.0,1
0,2.0,70.0,1,1,1.76,2.0,1
0,2.0,92.0,1,1,1.8,3.0,6
1,3.0,60.0,1,0,1.58,1.0,1
0,2.0,68.0,1,0,1.76,2.0,1
0,3.0,70.0,1,1,1.73,1.0,1
0,3.0,70.0,1,1,1.7,2.0,1
0,3.0,83.0,0,1,1.7,3.0,6
0,3.0,75.0,1,1,1.8,1.0,1
1,2.0,56.0,1,0,1.6,1.0,1
0,2.0,98.0,1,0,1.7,2.0,2
1,3.0,60.0,0,1,1.6,1.0,1
1,2.0,45.0,0,1,1.55,2.0,1
1,1.0,53.0,0,0,1.59,1.0,1
1,2.0,75.0,1,1,1.5,1.0,2
0,2.0,108.0,0,0,1.78,3.0,2
1,1.0,65.0,0,1,1.61,2.0,5
0,2.0,50.0,0,1,1.71,3.0,0
1,2.0,50.0,1,0,1.7,2.0,0
0,3.0,69.5,0,0,1.76,3.0,1
0,1.0,78.0,1,1,1.7,2.0,6
1,2.0,55.0,0,1,1.53,1.0,1
1,1.0,39.0,1,1,1.54,2.0,0
1,3.0,59.0,3,0,1.55,1.0,1
0,2.0,60.0,0,1,1.66,3.0,1
0,3.0,125.0,1,1,1.85,1.0,3
0,3.0,60.0,1,0,1.65,1.0,1
0,2.0,70.0,0,0,1.65,2.0,5
0,2.0,82.0,1,1,1.83,2.0,1
0,3.0,99.0,1,1,1.83,2.0,6
1,3.0,112.0,0,0,1.66,3.0,4
0,2.0,73.0,1,1,1.78,2.0,1
0,3.0,86.0,0,0,1.74,2.0,6
0,2.0,66.5,1,0,1.76,2.0,1
1,3.0,59.0,1,1,1.51,1.0,5
0,3.0,79.0,1,0,1.81,2.0,1
1,3.0,55.0,1,1,1.55,3.0,1
0,2.0,66.0,0,0,1.83,2.0,1
1,3.0,65.0,1,0,1.6,2.0,5
0,2.0,85.0,1,1,1.85,2.0,1
0,2.0,85.0,1,0,1.75,2.0,6
0,2.0,113.0,3,1,1.83,2.0,2
0,3.0,72.0,0,1,1.71,3.0,1
0,3.0,88.0,0,1,1.84,1.0,5
0,3.0,87.0,3,1,1.77,2.0,6
0,3.0,90.0,1,1,1.7,2.0,2
0,1.0,89.0,1,1,1.62,1.0,2
0,3.0,60.0,1,1,1.85,2.0,0
0,3.0,60.0,1,1,1.84,2.0,0
0,2.0,58.0,1,1,1.75,2.0,1
0,2.0,93.0,1,1,1.85,1.0,6
0,2.0,76.0,1,0,1.74,1.0,5
1,2.0,53.8,1,1,1.61,2.0,1
0,2.0,70.0,0,0,1.75,3.0,1
1,3.0,60.0,1,1,1.67,2.0,1
0,3.0,69.0,1,1,1.7,1.0,1
0,2.0,80.0,1,1,1.9,1.0,1
0,2.0,85.0,1,1,1.65,1.0,2
1,2.0,55.0,1,1,1.6,2.0,1
0,3.0,70.0,0,1,1.8,1.0,1
1,2.0,59.0,1,1,1.64,1.0,1
0,2.0,87.0,3,1,1.89,2.0,1
1,2.0,80.0,0,1,1.76,3.0,5
1,2.0,55.0,3,1,1.56,1.0,1
1,2.0,56.0,1,1,1.6,2.0,1
1,3.0,64.0,1,1,1.67,2.0,1
1,2.0,60.0,1,1,1.6,2.0,1
1,2.0,56.0,0,1,1.55,1.0,1
1,3.0,50.0,0,1,1.55,1.0,1
0,2.0,65.0,1,1,1.72,2.0,1
0,2.0,53.0,1,1,1.72,2.0,0
0,2.0,60.0,1,1,1.7,2.0,1
1,2.0,45.0,1,1,1.51,1.0,1
0,3.0,82.0,1,1,1.83,2.0,1
0,2.0,87.0,1,1,1.8,2.0,5
1,3.0,100.5,1,1,1.6,1.0,3
1,1.0,63.0,1,1,1.63,2.0,1
0,3.0,71.0,1,1,1.71,2.0,1
0,2.0,65.0,0,0,1.7,2.0,1
0,3.0,69.0,1,0,1.75,2.0,1
1,3.0,50.0,1,1,1.62,1.0,1
1,3.0,68.0,0,1,1.68,1.0,1
0,2.0,66.0,1,1,1.85,1.0,1
1,3.0,60.0,0,1,1.59,2.0,1
1,2.0,45.0,1,1,1.5,1.0,1
0,2.0,60.0,1,1,1.69,1.0,1
0,2.0,79.0,3,1,1.76,3.0,5
1,2.0,55.0,0,1,1.62,1.0,1
0,2.0,100.0,0,1,1.71,2.0,2
0,2.0,88.0,1,1,1.72,2.0,6
0,2.0,68.0,1,0,1.8,1.0,1
0,3.0,86.0,1,0,1.93,2.0,1
1,2.0,51.0,1,1,1.6,1.0,1
0,3.0,75.0,0,1,1.74,1.0,1
0,3.0,75.0,0,1,1.74,1.0,1
1,3.0,45.0,1,1,1.62,1.0,0
1,3.0,42.0,0,1,1.54,2.0,0
1,2.0,51.5,1,1,1.56,2.0,1
1,2.0,83.0,0,1,1.6,2.0,2
1,3.0,71.0,0,0,1.54,2.0,6
1,1.0,51.0,1,1,1.63,1.0,1
0,2.0,64.0,0,1,1.78,1.0,1
1,2.0,68.0,0,0,1.62,1.0,5
1,3.0,75.0,0,1,1.71,2.0,5
1,3.0,56.0,0,1,1.64,1.0,1
0,2.0,65.0,1,1,1.69,1.0,1
1,1.0,50.0,1,1,1.58,2.0,1
1,2.0,50.0,1,1,1.57,1.0,1
0,3.0,64.0,1,1,1.74,1.0,1
1,2.0,53.5,1,1,1.58,2.0,1
1,2.0,58.0,0,1,1.5,1.0,5
1,2.0,80.0,0,1,1.65,1.0,6
0,1.0,73.0,1,1,1.8,2.0,1
0,2.0,75.0,3,1,1.75,2.0,1
0,2.0,104.0,0,0,1.84,3.0,2
0,3.0,84.0,1,1,1.88,3.0,1
1,2.0,50.0,0,1,1.56,1.0,1
0,3.0,84.0,1,1,1.75,2.0,6
0,2.0,68.0,1,1,1.66,1.0,1
0,3.0,86.0,0,1,1.7,1.0,6
0,2.0,65.0,1,1,1.8,1.0,1
1,3.0,66.0,1,1,1.67,2.0,1
0,3.0,60.0,0,1,1.8,1.0,1
0,2.0,53.0,1,1,1.72,2.0,0
0,2.0,45.0,1,0,1.56,2.0,1
1,3.0,104.572712,1,1,1.686306,1.152736,4
1,3.0,126.67378,1,1,1.683124,1.115967,4
1,3.0,110.79263,1,1,1.622397,2.704507,4
1,3.0,137.796884,1,1,1.755643,2.184707,4
1,3.0,165.057269,1,1,1.843419,2.406541,4
1,3.0,133.03441,1,1,1.7456,2.984323,4
1,3.0,111.485516,1,1,1.630927,2.444125,4
1,3.0,104.826776,1,1,1.629191,2.654702,4
1,3.0,133.963349,1,1,1.770612,2.825629,4
0,2.0,54.927529,1,1,1.743702,2.847264,0
0,2.0,55.695036,1,1,1.771915,2.884033,0
0,2.450218,55.879263,1,1,1.75376,2.147746,0
1,3.0,51.154201,0,1,1.675446,2.815293,0
1,3.0,49.869791,0,1,1.666203,2.593459,0
1,2.880161,51.965521,0,1,1.711467,1.031354,0
1,3.0,44.845655,0,0,1.598019,2.444125,0
1,3.0,42.848033,0,0,1.59611,2.654702,0
1,3.0,43.919835,0,0,1.57206,2.651258,0
1,2.00876,43.087508,0,0,1.586952,1.792022,0
1,2.596579,44.581159,0,0,1.59559,1.490613,0
1,2.591439,45.0,0,0,1.6,2.074048,0
1,3.0,45.0,0,1,1.688025,3.0,0
1,3.0,42.339767,0,1,1.556211,2.13755,0
1,3.0,42.096062,0,1,1.564199,2.456581,0
1,2.392665,41.324558,1,1,1.56948,1.0,0
1,3.0,42.0,1,1,1.52,1.0,0
1,3.0,44.641796,1,1,1.550648,1.0,0
1,3.0,42.0,1,1,1.520997,1.527036,0
1,3.0,42.0,1,1,1.528011,1.322669,0
1,3.0,42.0,1,1,1.52,1.0,0
1,3.0,50.890363,1,0,1.733263,1.656082,0
1,3.0,50.833029,1,0,1.722527,1.569082,0
1,1.123939,50.0,1,0,1.734832,1.0,0
0,3.0,64.106108,1,1,1.882779,2.843777,0
0,3.0,63.611109,1,1,1.854592,2.650989,0
0,3.0,58.854416,1,1,1.835643,2.027984,0
0,3.0,52.0,0,1,1.755507,2.0,0
0,3.0,51.598593,0,1,1.71266,1.253803,0
0,3.0,52.0,0,1,1.694265,2.0,0
1,2.0,41.452385,1,1,1.586895,1.0,0
1,2.027574,41.890204,1,1,1.579561,1.636326,0
1,2.658112,41.397378,1,1,1.564568,1.298165,0
1,2.88626,49.742931,1,0,1.670635,1.632004,0
1,2.714447,49.660995,1,0,1.688426,2.0,0
1,2.750715,49.039794,1,0,1.66084,2.0,0
1,2.0,50.287967,0,1,1.710182,2.099863,0
1,2.0,53.699561,0,1,1.755978,1.86393,0
1,2.0,51.442293,0,1,1.728834,1.229915,0
1,1.4925,49.838965,1,1,1.662017,1.049134,0
1,1.0,50.0,1,1,1.7,1.0,0
1,2.205439,49.932199,1,1,1.661403,1.530531,0
1,2.059138,49.516027,0,1,1.610863,2.0,0
1,3.0,46.655622,0,1,1.640688,2.721769,0
1,3.0,49.839685,0,1,1.64603,2.7305,0
0,2.0,51.588874,1,1,1.710564,2.371015,0
0,2.310423,50.0,1,1,1.752755,1.787843,0
0,2.0,52.629374,1,1,1.691007,2.673835,0
0,2.823179,51.457226,1,1,1.753349,1.773236,0
0,2.052932,50.869704,1,1,1.781543,2.0,0
0,2.596364,52.331172,1,1,1.755823,2.0,0
0,2.767731,58.943347,0,1,1.836669,2.0,0
0,2.0,57.790381,0,1,1.768493,2.622638,0
0,2.0,57.145917,0,1,1.777108,2.426465,0
1,2.815157,43.365005,1,1,1.640824,2.911187,0
1,2.737762,44.411801,1,1,1.584951,2.310921,0
1,3.0,47.124717,1,1,1.818268,2.148146,0
0,2.568063,59.682591,0,1,1.793926,2.0,0
0,2.524428,58.968994,0,1,1.809251,2.0,0
0,2.0,55.700497,0,1,1.767335,2.157395,0
1,3.0,54.98774,0,1,1.699568,2.0,0
1,2.971574,55.01045,0,1,1.759358,2.894678,0
1,3.0,54.166453,0,1,1.740295,2.025279,0
